Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
64,99,66,3,3,96.96,1,bowled,2,v Ireland,Hamilton,2015-03-10,https://stats.espncricinfo.com/ci/engine/match/656465.html,260,2,24.615384615384617,W
16,24,21,2,0,76.19,1,caught,2,v Zimbabwe,Auckland,2015-03-14,https://stats.espncricinfo.com/ci/engine/match/656475.html,288,4,5.555555555555555,W
137,223,126,14,3,108.73,1,bowled,1,v Bangladesh,Melbourne,2015-03-19,https://stats.espncricinfo.com/ci/engine/match/656485.html,302,6,45.36423841059602,W
34,83,48,1,2,70.83,1,bowled,2,v Australia,Sydney,2015-03-26,https://stats.espncricinfo.com/ci/engine/match/656493.html,233,10,14.592274678111588,L
63,100,68,4,1,92.64,1,caught,2,v Bangladesh,Mirpur,2015-06-18,https://stats.espncricinfo.com/ci/engine/match/870731.html,228,10,27.631578947368425,L
0,1,2,0,0,0.00,1,caught,1,v Bangladesh,Mirpur,2015-06-21,https://stats.espncricinfo.com/ci/engine/match/870733.html,200,10,0.0,L
29,34,29,2,1,100.00,1,caught,1,v Bangladesh,Mirpur,2015-06-24,https://stats.espncricinfo.com/ci/engine/match/870735.html,317,6,9.14826498422713,W
150,215,133,13,6,112.78,1,caught,2,v South Africa,Kanpur,2015-10-11,https://stats.espncricinfo.com/ci/engine/match/903593.html,298,7,50.33557046979866,L
3,6,10,0,0,30.00,1,bowled,1,v South Africa,Indore,2015-10-14,https://stats.espncricinfo.com/ci/engine/match/903595.html,247,9,1.214574898785425,W
65,95,74,7,2,87.83,1,caught,2,v South Africa,Rajkot,2015-10-18,https://stats.espncricinfo.com/ci/engine/match/903597.html,252,6,25.793650793650798,L
21,21,19,4,0,110.52,1,caught,1,v South Africa,Chennai,2015-10-22,https://stats.espncricinfo.com/ci/engine/match/903599.html,299,8,7.023411371237458,W
16,21,20,3,0,80.00,1,caught,2,v South Africa,Wankhede,2015-10-25,https://stats.espncricinfo.com/ci/engine/match/903601.html,224,10,7.142857142857142,L
