Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
36,52,37,2,1,97.29,5,caught,1,v Australia,Brisbane,2008-03-04,https://stats.espncricinfo.com/ci/engine/match/291372.html,258,9,13.953488372093023,W
24,23,23,5,0,104.34,6,lbw,1,v Pakistan,Mirpur,2008-06-10,https://stats.espncricinfo.com/ci/engine/match/345469.html,330,8,7.2727272727272725,W
64,95,59,3,2,108.47,7,caught,2,v Pakistan,Mirpur,2008-06-14,https://stats.espncricinfo.com/ci/engine/match/345471.html,290,10,22.06896551724138,L
109,121,96,6,6,113.54,4,not out,1,v Hong Kong,Karachi,2008-06-25,https://stats.espncricinfo.com/ci/engine/match/335349.html,374,4,29.144385026737968,W
26,38,30,0,1,86.66,5,not out,2,v Pakistan,Karachi,2008-06-26,https://stats.espncricinfo.com/ci/engine/match/335351.html,301,4,8.637873754152823,W
76,150,96,4,0,79.16,5,caught,1,v Pakistan,Karachi,2008-07-02,https://stats.espncricinfo.com/ci/engine/match/335355.html,308,7,24.675324675324674,L
67,78,62,5,1,108.06,4,bowled,2,v Sri Lanka,Karachi,2008-07-03,https://stats.espncricinfo.com/ci/engine/match/335356.html,310,4,21.612903225806452,W
49,104,74,4,0,66.21,5,caught,2,v Sri Lanka,Karachi,2008-07-06,https://stats.espncricinfo.com/ci/engine/match/335358.html,173,10,28.32369942196532,L
6,30,28,0,0,21.42,6,caught,1,v Sri Lanka,Dambulla,2008-08-18,https://stats.espncricinfo.com/ci/engine/match/343732.html,146,10,4.10958904109589,L
39,88,54,3,0,72.22,5,bowled,2,v Sri Lanka,Dambulla,2008-08-20,https://stats.espncricinfo.com/ci/engine/match/343733.html,143,7,27.27272727272727,W
76,99,80,8,0,95.00,6,caught,1,v Sri Lanka,Colombo (RPS),2008-08-24,https://stats.espncricinfo.com/ci/engine/match/343734.html,237,9,32.06751054852321,W
71,104,80,4,0,88.75,5,caught,1,v Sri Lanka,Colombo (RPS),2008-08-27,https://stats.espncricinfo.com/ci/engine/match/366341.html,258,10,27.51937984496124,W
1,17,7,0,0,14.28,6,bowled,2,v Sri Lanka,Colombo (RPS),2008-08-29,https://stats.espncricinfo.com/ci/engine/match/343736.html,103,10,0.9708737864077669,L
39,46,32,3,1,121.87,6,bowled,1,v England,Rajkot,2008-11-14,https://stats.espncricinfo.com/ci/engine/match/361043.html,387,5,10.077519379844961,W
15,31,26,1,0,57.69,6,bowled,1,v England,Indore,2008-11-17,https://stats.espncricinfo.com/ci/engine/match/361044.html,292,9,5.136986301369863,W
29,70,51,4,0,56.86,6,not out,2,v England,Kanpur,2008-11-20,https://stats.espncricinfo.com/ci/engine/match/361045.html,198,5,14.646464646464647,W
9,5,5,0,1,180.00,5,bowled,1,v England,Bengaluru,2008-11-23,https://stats.espncricinfo.com/ci/engine/match/361046.html,166,4,5.421686746987952,W
